date,cum_EL_return_512_with_cost,cum_ES_return_512_with_cost,cum_ELS_return_512_with_cost,cum_VL_return_512_with_cost,cum_VS_return_512_with_cost,cum_VLS_return_512_with_cost,cum_EL_return_512_without_cost,cum_ES_return_512_without_cost,cum_ELS_return_512_without_cost,cum_VL_return_512_without_cost,cum_VS_return_512_without_cost,cum_VLS_return_512_without_cost
2024-02-12,-0.3863597609145488,0.22666689723914185,-0.15969286367540197,-0.11021412945263147,0.3166083722211756,0.20639424276854362,1.6546402390854529,2.267666897239148,3.9223071363245925,1.9307858705473664,2.3576083722211796,4.288394242768548
2024-02-13,-0.4188627144592884,0.23636392035164275,-0.18249879410764067,-0.13995658675712533,0.3199488851189485,0.17999229836182262,1.6231372855407133,2.278363920351649,3.901501205892354,1.9020434132428725,2.3619488851189523,4.263992298361827
2024-02-14,-0.39469580984301755,0.2292268166085306,-0.16546899323448197,-0.11111983088200225,0.31667716020938924,0.20555732932738643,1.6483041901569842,2.2722268166085366,3.9205310067655126,1.9318801691179956,2.359677160209393,4.29155732932739
2024-02-15,-0.40444085941676994,0.21666032778426772,-0.1877805316324972,-0.12289389857061564,0.3049732984211462,0.18207939985052998,1.6395591405832317,2.2606603277842736,3.9002194683674976,1.9211061014293822,2.34897329842115,4.270079399850534
2024-02-16,-0.4212537702885793,0.22317024379045972,-0.19808352649811456,-0.13984186298474519,0.3086987791726666,0.1688569161879208,1.6237462297114222,2.2681702437904656,3.89191647350188,1.9051581370152526,2.3536987791726705,4.258856916187924
2024-02-20,-0.4269241635410784,0.21960199960370616,-0.20732216393736722,-0.14379427117969606,0.30591046843162734,0.1621161972519307,1.619075836458923,2.265601999603712,3.8846778360626275,1.9022057288203018,2.3519104684316314,4.254116197251935
2024-02-21,-0.4340017525898564,0.21439985734265926,-0.2196018952471921,-0.15002852759525404,0.29473441035534365,0.14470588276008903,1.612998247410145,2.2613998573426652,3.8743981047528027,1.896971472404744,2.3417344103553477,4.238705882760093
2024-02-22,-0.39345447833936387,0.2076982384567467,-0.18575623988261214,-0.11024183017859752,0.29636831809166364,0.18612648791306552,1.6545455216606375,2.2556982384567528,3.9102437601173827,1.9377581698214004,2.3443683180916675,4.28212648791307
2024-02-23,-0.4013571727644026,0.20282863911237464,-0.1985285336520229,-0.11816412961443844,0.2944739778188233,0.17630984820438425,1.6476428272355987,2.2518286391123805,3.899471466347972,1.9308358703855595,2.343473977818827,4.274309848204388
2024-02-26,-0.3999380097764003,0.21986998874396924,-0.18006802103242603,-0.11709047328100876,0.3147367520562171,0.19764627877520777,1.650061990223601,2.269869988743975,3.919931978967569,1.932909526718989,2.364736752056221,4.297646278775212
2024-02-27,-0.4100978895974896,0.2180350609425209,-0.19206282865496363,-0.12652023454807831,0.3102452719863178,0.1837250374382389,1.6409021104025117,2.2690350609425267,3.9099371713450313,1.9244797654519195,2.3612452719863217,4.285725037438243
2024-02-28,-0.411484701120992,0.2133389104909768,-0.19814579063001012,-0.12734435948392006,0.3027828031244052,0.17543844364048453,1.6405152988790093,2.2653389104909825,3.9058542093699846,1.9246556405160777,2.354782803124409,4.279438443640489
