date,cum_EL_return_5_with_cost,cum_ES_return_5_with_cost,cum_ELS_return_5_with_cost,cum_VL_return_5_with_cost,cum_VS_return_5_with_cost,cum_VLS_return_5_with_cost,cum_EL_return_5_without_cost,cum_ES_return_5_without_cost,cum_ELS_return_5_without_cost,cum_VL_return_5_without_cost,cum_VS_return_5_without_cost,cum_VLS_return_5_without_cost
2016-01-04,-0.016514111574463693,0.014514111574463692,-0.0020000000000000018,-0.0031959069691768175,0.0011959069691768174,-0.002,-0.015514111574463692,0.015514111574463692,0.0,-0.0021959069691768174,0.0021959069691768174,0.0
2016-01-05,-0.021333236903892508,0.017333236903892508,-0.004000000000000002,-0.010185869502409833,0.006185869502409833,-0.004,-0.01933323690389251,0.01933323690389251,0.0,-0.008185869502409833,0.008185869502409833,0.0
2016-01-06,-0.06545502895358542,0.05945502895358541,-0.006000000000000004,-0.02273690658617966,0.016736906586179663,-0.005999999999999998,-0.062455028953585415,0.062455028953585415,0.0,-0.019736906586179662,0.019736906586179662,0.0
2016-01-07,-0.10089199864794893,0.09289199864794892,-0.008000000000000005,-0.03919414008257256,0.031194140082572566,-0.008,-0.09689199864794892,0.09689199864794892,0.0,-0.035194140082572566,0.035194140082572566,0.0
2016-01-08,-0.12269164390659648,0.11269164390659647,-0.010000000000000007,-0.04300567187751183,0.033005671877511834,-0.01,-0.11769164390659648,0.11769164390659648,0.0,-0.03800567187751183,0.03800567187751183,0.0
2016-01-11,-0.11741728181148808,0.08467460691140505,-0.032742674900083035,-0.04415452872120828,-0.0002526629448748527,-0.04440719166608314,-0.11141728181148808,0.09067460691140505,-0.020742674900083025,-0.03815452872120828,0.005747337055125146,-0.032407191666083135
2016-01-12,-0.1085269704324019,0.07696423852644278,-0.03156273190595913,-0.037980036046796534,-0.010962010195989563,-0.0489420462427861,-0.1015269704324019,0.08396423852644279,-0.01756273190595912,-0.030980036046796534,-0.003962010195989563,-0.034942046242786094
2016-01-13,-0.14836659449826986,0.10525596082174282,-0.04311063367652704,-0.08125793007315103,0.011535156568444206,-0.06972277350470683,-0.14036659449826985,0.11325596082174283,-0.027110633676527027,-0.07325793007315104,0.019535156568444206,-0.05372277350470682
2016-01-14,-0.13865612280364248,0.0721982530562115,-0.06645786974743098,-0.07350635434105753,-0.02932458910250548,-0.10283094344356301,-0.12965612280364247,0.0811982530562115,-0.048457869747430965,-0.06450635434105753,-0.02032458910250548,-0.084830943443563
2016-01-15,-0.19236161580885397,0.11189594475304097,-0.08046567105581298,-0.12982742014523918,0.03025104978328342,-0.09957637036195577,-0.18236161580885396,0.12189594475304098,-0.060465671055812964,-0.1198274201452392,0.04025104978328342,-0.07957637036195575
