date,cum_EL_return_252_with_cost,cum_ES_return_252_with_cost,cum_ELS_return_252_with_cost,cum_VL_return_252_with_cost,cum_VS_return_252_with_cost,cum_VLS_return_252_with_cost,cum_EL_return_252_without_cost,cum_ES_return_252_without_cost,cum_ELS_return_252_without_cost,cum_VL_return_252_without_cost,cum_VS_return_252_without_cost,cum_VLS_return_252_without_cost
2016-01-04,-0.015323804467527638,0.013323804467527636,-0.0020000000000000018,-0.0033401650256070616,0.0013401650256070615,-0.002,-0.014323804467527637,0.014323804467527637,0.0,-0.0023401650256070616,0.0023401650256070616,0.0
2016-01-05,-0.020142929796956456,0.016142929796956453,-0.004000000000000002,-0.010330127558840076,0.006330127558840077,-0.004,-0.018142929796956454,0.018142929796956454,0.0,-0.008330127558840078,0.008330127558840078,0.0
2016-01-06,-0.06426472184664936,0.05826472184664936,-0.006000000000000004,-0.022881164642609905,0.016881164642609907,-0.005999999999999998,-0.06126472184664936,0.06126472184664936,0.0,-0.01988116464260991,0.01988116464260991,0.0
2016-01-07,-0.09970169154101285,0.09170169154101286,-0.008000000000000005,-0.039338398139002806,0.03133839813900281,-0.008,-0.09570169154101286,0.09570169154101286,0.0,-0.035338398139002816,0.035338398139002816,0.0
2016-01-08,-0.12150133679966041,0.1115013367996604,-0.010000000000000007,-0.04314992993394207,0.03314992993394208,-0.01,-0.1165013367996604,0.1165013367996604,0.0,-0.03814992993394208,0.03814992993394208,0.0
2016-01-11,-0.0996067683263828,0.08760676832638278,-0.012000000000000009,-0.03607384352830056,0.02407384352830056,-0.012,-0.09360676832638279,0.09360676832638279,0.0,-0.030073843528300566,0.030073843528300566,0.0
2016-01-12,-0.09221729198237588,0.07821729198237587,-0.014000000000000009,-0.03249596785759615,0.01849596785759615,-0.014,-0.08521729198237588,0.08521729198237588,0.0,-0.025495967857596155,0.025495967857596155,0.0
2016-01-13,-0.12232340994116135,0.10632340994116134,-0.01600000000000001,-0.04398551301283743,0.02798551301283743,-0.016,-0.11432340994116134,0.11432340994116134,0.0,-0.035985513012837436,0.035985513012837436,0.0
2016-01-14,-0.11111591267182985,0.09311591267182985,-0.01800000000000001,-0.0391093640645151,0.0211093640645151,-0.018000000000000002,-0.10211591267182986,0.10211591267182986,0.0,-0.030109364064515108,0.030109364064515108,0.0
2016-01-15,-0.14833552067190703,0.12833552067190704,-0.02000000000000001,-0.05160877951459912,0.03160877951459912,-0.02,-0.13833552067190705,0.13833552067190705,0.0,-0.041608779514599126,0.041608779514599126,0.0
2016-01-19,-0.15551664158881187,0.13351664158881188,-0.022000000000000013,-0.055083591915422475,0.033083591915422476,-0.022,-0.1445166415888119,0.1445166415888119,0.0,-0.04408359191542248,0.04408359191542248,0.0
2016-01-20,-0.16638337232334519,0.1423833723233452,-0.02400000000000001,-0.05877666057949403,0.03477666057949404,-0.024,-0.1543833723233452,0.1543833723233452,0.0,-0.046776660579494034,0.046776660579494034,0.0
2016-01-21,-0.13398063037895747,0.10798063037895748,-0.026000000000000013,-0.05342162061236229,0.027421620612362294,-0.026000000000000002,-0.1209806303789575,0.1209806303789575,0.0,-0.04042162061236229,0.04042162061236229,0.0
2016-01-22,-0.131563157130204,0.10356315713020403,-0.02800000000000001,-0.04337472418520888,0.015374724185208886,-0.028000000000000004,-0.11756315713020404,0.11756315713020404,0.0,-0.029374724185208884,0.029374724185208884,0.0
2016-01-25,-0.12817228508385037,0.0981722850838504,-0.030000000000000013,-0.047022668769635,0.017022668769635003,-0.030000000000000006,-0.11317228508385041,0.11317228508385041,0.0,-0.032022668769635006,0.032022668769635006,0.0
2016-01-26,-0.12608391206875263,0.09408391206875266,-0.032000000000000015,-0.04683771467396959,0.014837714673969596,-0.03200000000000001,-0.11008391206875268,0.11008391206875268,0.0,-0.030837714673969598,0.030837714673969598,0.0
2016-01-27,-0.1299326316031079,0.09593263160310792,-0.034000000000000016,-0.06178926262913158,0.02778926262913159,-0.034,-0.11293263160310793,0.11293263160310793,0.0,-0.04478926262913159,0.04478926262913159,0.0
2016-01-28,-0.13517713495238948,0.09917713495238951,-0.03600000000000002,-0.0625103371607628,0.02651033716076281,-0.036000000000000004,-0.11717713495238952,0.11717713495238952,0.0,-0.04451033716076281,0.04451033716076281,0.0
2016-01-29,-0.09932927245085035,0.06132927245085038,-0.03800000000000002,-0.050217247855703445,0.01221724785570345,-0.038000000000000006,-0.08032927245085039,0.08032927245085039,0.0,-0.03121724785570345,0.03121724785570345,0.0
2016-02-01,-0.10851856188320001,0.06851856188320003,-0.04000000000000002,-0.054812429038002375,0.014812429038002378,-0.04000000000000001,-0.08851856188320005,0.08851856188320005,0.0,-0.03481242903800238,0.03481242903800238,0.0
2016-02-02,-0.14186973259604693,0.09986973259604695,-0.04200000000000002,-0.06578863196289472,0.02378863196289472,-0.04200000000000001,-0.12086973259604697,0.12086973259604697,0.0,-0.04478863196289472,0.04478863196289472,0.0
2016-02-03,-0.12912291907218618,0.08512291907218619,-0.044000000000000025,-0.06001288466427055,0.01601288466427055,-0.04400000000000001,-0.1071229190721862,0.1071229190721862,0.0,-0.038012884664270545,0.038012884664270545,0.0
2016-02-04,-0.12310873308079164,0.07710873308079166,-0.04600000000000003,-0.05814409091607996,0.012144090916079958,-0.04600000000000001,-0.10010873308079166,0.10010873308079166,0.0,-0.03514409091607995,0.03514409091607995,0.0
2016-02-05,-0.15665125944014652,0.10865125944014653,-0.04800000000000003,-0.07018121627485138,0.022181216274851392,-0.048000000000000015,-0.13265125944014652,0.13265125944014652,0.0,-0.04618121627485138,0.04618121627485138,0.0
