date,cum_EL_return_5_with_cost,cum_ES_return_5_with_cost,cum_ELS_return_5_with_cost,cum_VL_return_5_with_cost,cum_VS_return_5_with_cost,cum_VLS_return_5_with_cost,cum_EL_return_5_without_cost,cum_ES_return_5_without_cost,cum_ELS_return_5_without_cost,cum_VL_return_5_without_cost,cum_VS_return_5_without_cost,cum_VLS_return_5_without_cost
2018-05-04,-0.32583526850026256,-0.5806400170544042,-0.9064752855546651,-0.4223104752760113,-0.5234783382208671,-0.9457888134968776,0.2631647314997372,0.008359982945596398,0.27152471444533366,0.16668952472398896,0.06552166177913352,0.23221118650312256
2018-05-07,-0.3278604495497833,-0.5852444893431682,-0.9131049388929497,-0.4255842434619706,-0.5252680115547799,-0.9508522550167497,0.2621395504502165,0.004755510656832393,0.2668950611070489,0.16441575653802964,0.06473198844522074,0.22914774498325047
2018-05-08,-0.3256255981706199,-0.5955063255968922,-0.9211319237675104,-0.424346346674788,-0.5379868900294803,-0.9623332367042676,0.2653744018293798,-0.004506325596891627,0.26086807623248826,0.16665365332521223,0.05301310997052032,0.21966676329573265
2018-05-09,-0.3246609576261832,-0.6140993864858895,-0.9387603441120709,-0.42168849328630453,-0.5531646296680872,-0.9748531229543911,0.26733904237381656,-0.02209938648588885,0.24523965588792776,0.17031150671369566,0.038835370331913456,0.20914687704560922
2018-05-10,-0.3201913522062503,-0.6284023801336184,-0.9485937323398669,-0.4132124494967547,-0.5716122535510039,-0.9848247030477578,0.27280864779374947,-0.03540238013361771,0.2374062676601318,0.17978755050324552,0.02138774644899681,0.20117529695224243
2018-05-11,-0.31156644269331635,-0.6191285972575727,-0.9306950399508873,-0.39604442330385964,-0.560449851645299,-0.956494274949158,0.2824335573066834,-0.0251285972575721,0.25730496004911135,0.19795557669614053,0.033550148354701693,0.23150572505084233
2018-05-14,-0.31666471537182883,-0.6226370692982606,-0.9393017846700876,-0.39779699342750585,-0.5681599341077108,-0.965956927535216,0.2783352846281709,-0.027637069298259914,0.25069821532991104,0.1972030065724943,0.026840065892289863,0.22404307246478428
2018-05-15,-0.3184592170166992,-0.6260967222261125,-0.9445559392428099,-0.3988312795589165,-0.5684464767460403,-0.9672777563049563,0.27754078298330054,-0.030096722226111806,0.24744406075718875,0.1971687204410836,0.027553523253960332,0.22472224369504407
2018-05-16,-0.31497081599508403,-0.6330311122377972,-0.9480019282328794,-0.39530109587916107,-0.570569799992934,-0.9658708958720945,0.2820291840049157,-0.03603111223779658,0.2459980717671192,0.20169890412083907,0.026430200007066678,0.22812910412790588
2018-05-17,-0.3234481380989485,-0.6275831529424246,-0.9510312910413714,-0.4101363801061914,-0.5710771781525822,-0.9812135582587731,0.27455186190105124,-0.029583152942424043,0.24496870895862724,0.18786361989380873,0.026922821847418486,0.21478644174122735
2018-05-18,-0.3400952173800052,-0.6239431826976403,-0.9640384000776437,-0.4305253876893849,-0.5712300518745318,-1.0017554395639163,0.25890478261999456,-0.024943182697639715,0.23396159992235488,0.16847461231061522,0.027769948125468853,0.1962445604360842
2018-05-21,-0.33443980175870386,-0.6449924313743955,-0.9794322331330977,-0.42263294667298673,-0.575227087909922,-0.9978600345829084,0.2655601982412959,-0.044992431374394945,0.22056776686690097,0.1773670533270134,0.024772912090078585,0.20213996541709212
2018-05-22,-0.33470533826488236,-0.6479518408330526,-0.9826571790979333,-0.4210996657512717,-0.576093377342437,-0.9971930430937083,0.2662946617351174,-0.04695184083305196,0.21934282090206544,0.17990033424872842,0.02490662265756365,0.2048069569062922
2018-05-23,-0.32610461158082454,-0.5620856190382704,-0.8881902306190933,-0.4109879412394853,-0.5646776554962484,-0.9756655967357332,0.2758953884191752,0.03991438096173019,0.3158097693809054,0.19101205876051483,0.03732234450375234,0.2283344032642673
2018-05-24,-0.2995070501087155,-0.5720710302796517,-0.8715780803883656,-0.35848668030318237,-0.5667233451369748,-0.9252100254401565,0.3034929498912843,0.030928969720348837,0.33442191961163314,0.24451331969681778,0.036276654863025996,0.2807899745598439
2018-05-25,-0.3095586596085638,-0.5752055052880597,-0.8847641648966219,-0.3649187507498409,-0.5680038496839415,-0.9329226004337818,0.29444134039143594,0.028794494711940854,0.32323583510337683,0.23908124925015922,0.03599615031605924,0.2750773995662186
2018-05-29,-0.3528230172126263,-0.5753679515248689,-0.9281909687374936,-0.37489597421742277,-0.572690096175711,-0.9475860703931333,0.25217698278737344,0.02963204847513169,0.28180903126250517,0.23010402578257735,0.03230990382428974,0.2624139296068672
2018-05-30,-0.3500681292353505,-0.5802991182845108,-0.9303672475198597,-0.37437126941387966,-0.5765978297005039,-0.950969099114383,0.25593187076464924,0.0257008817154898,0.2816327524801391,0.23162873058612046,0.029402170299496853,0.2610309008856174
2018-05-31,-0.36157099467554754,-0.5626430554786351,-0.9242140501541811,-0.3883595553878032,-0.5747481746419271,-0.9631077300297297,0.24542900532445222,0.0443569445213654,0.2897859498458177,0.21864044461219695,0.03225182535807367,0.25089226997027075
